model_id,provider,model_version,sample_id,family,recipe,label,answer_letter,parsed_letter,is_correct,is_unparseable,is_abstention,response_text
OpenGVLab/InternVL3-1B-hf,huggingface,,clean__clean__clean__09904,clean,clean,lg_cell_phone,F,D,False,False,False,D
OpenGVLab/InternVL3-1B-hf,huggingface,,clean__clean__clean__09958,clean,clean,dymo_label_maker,D,D,True,False,False,D
OpenGVLab/InternVL3-1B-hf,huggingface,,clean__clean__clean__10183,clean,clean,baseball,A,A,True,False,False,A. baseball
OpenGVLab/InternVL3-1B-hf,huggingface,,clean__clean__clean__10243,clean,clean,canon_camera,C,C,True,False,False,C
OpenGVLab/InternVL3-1B-hf,huggingface,,clean__clean__clean__10457,clean,clean,training_marker_cone,J,J,True,False,False,J
OpenGVLab/InternVL3-1B-hf,huggingface,,clean__clean__clean__10530,clean,clean,canon_camera,C,C,True,False,False,C
OpenGVLab/InternVL3-1B-hf,huggingface,,clean__clean__clean__10640,clean,clean,shoes,H,H,True,False,False,H. shoes
OpenGVLab/InternVL3-1B-hf,huggingface,,clean__clean__clean__10714,clean,clean,pan,G,G,True,False,False,G
OpenGVLab/InternVL3-1B-hf,huggingface,,clean__clean__clean__10854,clean,clean,shoes,H,H,True,False,False,H. shoes
OpenGVLab/InternVL3-1B-hf,huggingface,,clean__clean__clean__11059,clean,clean,baseball,A,A,True,False,False,A. baseball
OpenGVLab/InternVL3-1B-hf,huggingface,,clean__clean__clean__11101,clean,clean,lg_cell_phone,F,F,True,False,False,F
OpenGVLab/InternVL3-1B-hf,huggingface,,clean__clean__clean__11247,clean,clean,calcium_bottle,B,B,True,False,False,B
OpenGVLab/InternVL3-1B-hf,huggingface,,clean__clean__clean__11285,clean,clean,pan,G,G,True,False,False,G
OpenGVLab/InternVL3-1B-hf,huggingface,,clean__clean__clean__11291,clean,clean,lg_cell_phone,F,F,True,False,False,F
OpenGVLab/InternVL3-1B-hf,huggingface,,clean__clean__clean__11335,clean,clean,hair_brush,E,E,True,False,False,E
OpenGVLab/InternVL3-1B-hf,huggingface,,clean__clean__clean__11437,clean,clean,training_marker_cone,J,J,True,False,False,J
OpenGVLab/InternVL3-1B-hf,huggingface,,clean__clean__clean__11442,clean,clean,baseball,A,A,True,False,False,A. baseball
OpenGVLab/InternVL3-1B-hf,huggingface,,clean__clean__clean__11446,clean,clean,shoes,H,H,True,False,False,H. shoes
OpenGVLab/InternVL3-1B-hf,huggingface,,clean__clean__clean__11460,clean,clean,pan,G,G,True,False,False,G
OpenGVLab/InternVL3-1B-hf,huggingface,,clean__clean__clean__11608,clean,clean,pan,G,G,True,False,False,G
OpenGVLab/InternVL3-1B-hf,huggingface,,clean__clean__clean__11677,clean,clean,baseball,A,A,True,False,False,A. baseball
OpenGVLab/InternVL3-1B-hf,huggingface,,clean__clean__clean__11716,clean,clean,toy,I,I,True,False,False,I. toy
OpenGVLab/InternVL3-1B-hf,huggingface,,clean__clean__clean__11735,clean,clean,toy,I,I,True,False,False,I. toy
OpenGVLab/InternVL3-1B-hf,huggingface,,clean__clean__clean__11747,clean,clean,training_marker_cone,J,J,True,False,False,J
OpenGVLab/InternVL3-1B-hf,huggingface,,clean__clean__clean__11758,clean,clean,lg_cell_phone,F,F,True,False,False,F
OpenGVLab/InternVL3-1B-hf,huggingface,,clean__clean__clean__11887,clean,clean,dymo_label_maker,D,D,True,False,False,D
OpenGVLab/InternVL3-1B-hf,huggingface,,clean__clean__clean__11890,clean,clean,hair_brush,E,E,True,False,False,E
OpenGVLab/InternVL3-1B-hf,huggingface,,clean__clean__clean__12027,clean,clean,toy,I,I,True,False,False,I. toy
OpenGVLab/InternVL3-1B-hf,huggingface,,clean__clean__clean__12043,clean,clean,dymo_label_maker,D,D,True,False,False,D. DYMO label maker
