slug,model_id,provider,model_version,label,clean_n,clean_accuracy,real_n,real_accuracy,real_unparseable_rate,accuracy_drop_vs_clean
qwen2_5_vl_3b,Qwen/Qwen2.5-VL-3B-Instruct,huggingface,,calcium_bottle,10,0.9,80,0.65,0.2375,0.25
qwen2_5_vl_3b,Qwen/Qwen2.5-VL-3B-Instruct,huggingface,,lg_cell_phone,10,0.8,80,0.6875,0.2375,0.1125
qwen2_5_vl_3b,Qwen/Qwen2.5-VL-3B-Instruct,huggingface,,training_marker_cone,10,0.8,80,0.7125,0.275,0.0875
qwen2_5_vl_3b,Qwen/Qwen2.5-VL-3B-Instruct,huggingface,,canon_camera,10,0.9,80,0.7375,0.2,0.1625
qwen2_5_vl_3b,Qwen/Qwen2.5-VL-3B-Instruct,huggingface,,hair_brush,10,0.9,80,0.7625,0.2375,0.1375
qwen2_5_vl_3b,Qwen/Qwen2.5-VL-3B-Instruct,huggingface,,pan,10,0.9,80,0.7625,0.2375,0.1375
qwen2_5_vl_3b,Qwen/Qwen2.5-VL-3B-Instruct,huggingface,,shoes,10,1.0,80,0.8,0.2,0.2
qwen2_5_vl_3b,Qwen/Qwen2.5-VL-3B-Instruct,huggingface,,baseball,10,1.0,80,0.8375,0.1625,0.1625
qwen2_5_vl_3b,Qwen/Qwen2.5-VL-3B-Instruct,huggingface,,toy,10,0.7,80,0.8375,0.1625,-0.1375
qwen2_5_vl_3b,Qwen/Qwen2.5-VL-3B-Instruct,huggingface,,dymo_label_maker,10,0.9,80,0.8625,0.1375,0.0375
