model_id,provider,model_version,sample_id,family,recipe,label,answer_letter,parsed_letter,is_correct,is_unparseable,is_abstention,response_text
GigaChat-2-Pro,gigachat,,clean__clean__clean__09904,clean,clean,lg_cell_phone,F,F,True,False,False,F
GigaChat-2-Pro,gigachat,,clean__clean__clean__09958,clean,clean,dymo_label_maker,D,D,True,False,False,D
GigaChat-2-Pro,gigachat,,clean__clean__clean__10183,clean,clean,baseball,A,A,True,False,False,A
GigaChat-2-Pro,gigachat,,clean__clean__clean__10243,clean,clean,canon_camera,C,C,True,False,False,C
GigaChat-2-Pro,gigachat,,clean__clean__clean__10457,clean,clean,training_marker_cone,J,J,True,False,False,J
GigaChat-2-Pro,gigachat,,clean__clean__clean__10530,clean,clean,canon_camera,C,D,False,False,False,D
GigaChat-2-Pro,gigachat,,clean__clean__clean__10640,clean,clean,shoes,H,H,True,False,False,H
GigaChat-2-Pro,gigachat,,clean__clean__clean__10714,clean,clean,pan,G,G,True,False,False,G
GigaChat-2-Pro,gigachat,,clean__clean__clean__11059,clean,clean,baseball,A,A,True,False,False,A
GigaChat-2-Pro,gigachat,,clean__clean__clean__11101,clean,clean,lg_cell_phone,F,F,True,False,False,F
GigaChat-2-Pro,gigachat,,clean__clean__clean__11247,clean,clean,calcium_bottle,B,B,True,False,False,B
GigaChat-2-Pro,gigachat,,clean__clean__clean__11285,clean,clean,pan,G,G,True,False,False,G
GigaChat-2-Pro,gigachat,,clean__clean__clean__11335,clean,clean,hair_brush,E,E,True,False,False,E
GigaChat-2-Pro,gigachat,,clean__clean__clean__11437,clean,clean,training_marker_cone,J,J,True,False,False,J
GigaChat-2-Pro,gigachat,,clean__clean__clean__11446,clean,clean,shoes,H,H,True,False,False,H
GigaChat-2-Pro,gigachat,,clean__clean__clean__11460,clean,clean,pan,G,G,True,False,False,G
GigaChat-2-Pro,gigachat,,clean__clean__clean__11677,clean,clean,baseball,A,A,True,False,False,A
GigaChat-2-Pro,gigachat,,clean__clean__clean__11716,clean,clean,toy,I,I,True,False,False,I
GigaChat-2-Pro,gigachat,,clean__clean__clean__11735,clean,clean,toy,I,I,True,False,False,I
GigaChat-2-Pro,gigachat,,clean__clean__clean__11747,clean,clean,training_marker_cone,J,J,True,False,False,J
GigaChat-2-Pro,gigachat,,clean__clean__clean__11758,clean,clean,lg_cell_phone,F,F,True,False,False,F
GigaChat-2-Pro,gigachat,,clean__clean__clean__11887,clean,clean,dymo_label_maker,D,F,False,False,False,F
GigaChat-2-Pro,gigachat,,clean__clean__clean__12027,clean,clean,toy,I,I,True,False,False,I
GigaChat-2-Pro,gigachat,,clean__clean__clean__12043,clean,clean,dymo_label_maker,D,D,True,False,False,D
GigaChat-2-Pro,gigachat,,clean__clean__clean__12528,clean,clean,canon_camera,C,C,True,False,False,C
GigaChat-2-Pro,gigachat,,clean__clean__clean__12815,clean,clean,calcium_bottle,B,D,False,False,False,D
GigaChat-2-Pro,gigachat,,clean__clean__clean__13252,clean,clean,shoes,H,H,True,False,False,H
GigaChat-2-Pro,gigachat,,clean__clean__clean__13315,clean,clean,hair_brush,E,E,True,False,False,E
GigaChat-2-Pro,gigachat,,clean__clean__clean__13506,clean,clean,calcium_bottle,B,B,True,False,False,B
GigaChat-2-Pro,gigachat,,clean__clean__clean__13712,clean,clean,hair_brush,E,E,True,False,False,E
GigaChat-2-Pro,gigachat,,real_transfer__messenger_upload_download__rep_01__09904,real_transfer,messenger_upload_download,lg_cell_phone,F,F,True,False,False,F
GigaChat-2-Pro,gigachat,,real_transfer__messenger_upload_download__rep_01__09958,real_transfer,messenger_upload_download,dymo_label_maker,D,D,True,False,False,D
GigaChat-2-Pro,gigachat,,real_transfer__messenger_upload_download__rep_01__10183,real_transfer,messenger_upload_download,baseball,A,A,True,False,False,A
GigaChat-2-Pro,gigachat,,real_transfer__messenger_upload_download__rep_01__10243,real_transfer,messenger_upload_download,canon_camera,C,C,True,False,False,C
GigaChat-2-Pro,gigachat,,real_transfer__messenger_upload_download__rep_01__10457,real_transfer,messenger_upload_download,training_marker_cone,J,J,True,False,False,J
GigaChat-2-Pro,gigachat,,real_transfer__messenger_upload_download__rep_01__10530,real_transfer,messenger_upload_download,canon_camera,C,D,False,False,False,D
GigaChat-2-Pro,gigachat,,real_transfer__messenger_upload_download__rep_01__10640,real_transfer,messenger_upload_download,shoes,H,H,True,False,False,H
GigaChat-2-Pro,gigachat,,real_transfer__messenger_upload_download__rep_01__10714,real_transfer,messenger_upload_download,pan,G,G,True,False,False,G
GigaChat-2-Pro,gigachat,,real_transfer__messenger_upload_download__rep_01__11059,real_transfer,messenger_upload_download,baseball,A,A,True,False,False,A
GigaChat-2-Pro,gigachat,,real_transfer__messenger_upload_download__rep_01__11101,real_transfer,messenger_upload_download,lg_cell_phone,F,F,True,False,False,F
GigaChat-2-Pro,gigachat,,real_transfer__messenger_upload_download__rep_01__11247,real_transfer,messenger_upload_download,calcium_bottle,B,B,True,False,False,B
GigaChat-2-Pro,gigachat,,real_transfer__messenger_upload_download__rep_01__11285,real_transfer,messenger_upload_download,pan,G,G,True,False,False,G
