family,recipe,severity,n,accuracy,mean_confidence,relative_accuracy_drop,protocol
clean,clean,clean,500,0.616,0.013960918275639415,0.0,full_cure_or_leave_clean_condition_out_prototype
control_cure_or,grayscale_no_challenge,control,499,0.4909819639278557,0.013517278207387618,0.1250180360721443,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_02,level_1,500,0.604,0.013913114029914141,0.01200000000000001,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_02,level_2,500,0.598,0.01389891974441707,0.018000000000000016,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_02,level_3,500,0.582,0.013789861449971795,0.03400000000000003,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_02,level_4,500,0.56,0.013577267067506909,0.05599999999999994,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_03,level_1,500,0.58,0.01375908706523478,0.03600000000000003,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_03,level_2,500,0.574,0.013831276282668113,0.04200000000000004,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_03,level_3,500,0.578,0.013839649317786097,0.038000000000000034,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_03,level_4,500,0.57,0.013711225802078843,0.04600000000000004,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_03,level_5,500,0.522,0.013249391812831163,0.09399999999999997,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_04,level_1,500,0.606,0.013834083637222648,0.010000000000000009,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_04,level_2,500,0.524,0.013325595958158375,0.09199999999999997,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_04,level_3,500,0.458,0.012872363878414035,0.15799999999999997,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_04,level_4,500,0.372,0.012631240874528885,0.244,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_04,level_5,500,0.316,0.012447811575606465,0.3,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_05,level_1,500,0.206,0.011840146115049719,0.41000000000000003,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_05,level_2,500,0.066,0.0113285205475986,0.55,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_05,level_3,500,0.03,0.011313025534152985,0.586,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_05,level_4,500,0.016,0.011312786407768727,0.6,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_05,level_5,500,0.014,0.011401761412620545,0.602,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_06,level_1,500,0.572,0.013584183095023036,0.04400000000000004,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_06,level_2,500,0.528,0.013367568181827664,0.08799999999999997,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_06,level_3,500,0.488,0.013231671480461955,0.128,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_06,level_4,500,0.466,0.013139451270923018,0.14999999999999997,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_06,level_5,500,0.462,0.013050151428207755,0.15399999999999997,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_07,level_1,500,0.562,0.013052291754633188,0.05399999999999994,full_cure_or_leave_clean_condition_out_prototype
native_cure_or,native_challenge_type_07,level_2,500,0.532,0.012622900685295462,0.08399999999999996,full_cure_or_leave_clean_condition_out_prototype
