model_id,provider,model_version,label,clean_n,clean_accuracy,real_n,real_accuracy,real_unparseable_rate,accuracy_drop_vs_clean
gpt-5.4-mini,openai,,calcium_bottle,3,0.666667,18,0.722222,0.000000,-0.055556
gpt-5.4-mini,openai,,canon_camera,3,1.000000,18,0.944444,0.000000,0.055556
gpt-5.4-mini,openai,,lg_cell_phone,3,1.000000,18,0.944444,0.000000,0.055556
gpt-5.4-mini,openai,,baseball,3,1.000000,18,1.000000,0.000000,0.000000
gpt-5.4-mini,openai,,dymo_label_maker,3,1.000000,18,1.000000,0.000000,0.000000
gpt-5.4-mini,openai,,hair_brush,3,1.000000,18,1.000000,0.000000,0.000000
gpt-5.4-mini,openai,,pan,3,1.000000,18,1.000000,0.000000,0.000000
gpt-5.4-mini,openai,,shoes,3,1.000000,18,1.000000,0.000000,0.000000
gpt-5.4-mini,openai,,toy,3,1.000000,18,1.000000,0.000000,0.000000
gpt-5.4-mini,openai,,training_marker_cone,3,1.000000,18,1.000000,0.000000,0.000000
