model_id,provider,model_version,label,clean_n,clean_accuracy,real_n,real_accuracy,real_unparseable_rate,accuracy_drop_vs_clean
Qwen/Qwen2.5-VL-3B-Instruct,huggingface,,calcium_bottle,3,0.666667,18,0.388889,0.333333,0.277778
Qwen/Qwen2.5-VL-3B-Instruct,huggingface,,lg_cell_phone,3,0.666667,18,0.388889,0.555556,0.277778
Qwen/Qwen2.5-VL-3B-Instruct,huggingface,,canon_camera,3,0.666667,18,0.444444,0.555556,0.222222
Qwen/Qwen2.5-VL-3B-Instruct,huggingface,,baseball,3,1.000000,18,0.611111,0.388889,0.388889
Qwen/Qwen2.5-VL-3B-Instruct,huggingface,,pan,3,1.000000,18,0.666667,0.333333,0.333333
Qwen/Qwen2.5-VL-3B-Instruct,huggingface,,training_marker_cone,3,1.000000,18,0.666667,0.333333,0.333333
Qwen/Qwen2.5-VL-3B-Instruct,huggingface,,hair_brush,3,1.000000,18,0.777778,0.222222,0.222222
Qwen/Qwen2.5-VL-3B-Instruct,huggingface,,toy,3,1.000000,18,0.777778,0.222222,0.222222
Qwen/Qwen2.5-VL-3B-Instruct,huggingface,,dymo_label_maker,3,1.000000,18,0.833333,0.166667,0.166667
Qwen/Qwen2.5-VL-3B-Instruct,huggingface,,shoes,3,1.000000,18,0.833333,0.166667,0.166667
